Clave de metrópoli,Tipo de metrópoli,Nombre de la metrópoli,Clave de municipio,Municipio,ODS,Nombre del ODS,Clave de indicador,Indicador,Año,Valor,Ponderador
09.1.01,Zona metropolitana,Ciudad de México,13069,Tizayuca,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,100.427035009308,NA
09.1.01,Zona metropolitana,Ciudad de México,15092,Teotihuacán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,38.9804487023062,NA
09.1.01,Zona metropolitana,Ciudad de México,15059,Nextlalpan,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,9.33367668029492,NA
09.1.01,Zona metropolitana,Ciudad de México,15035,Huehuetoca,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,66.366854559819,NA
09.1.01,Zona metropolitana,Ciudad de México,09008,La Magdalena Contreras,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,39.935178351603,NA
09.1.01,Zona metropolitana,Ciudad de México,15104,Tlalnepantla de Baz,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,236.720711746365,NA
09.1.01,Zona metropolitana,Ciudad de México,15095,Tepotzotlán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,196.484792485832,NA
09.1.01,Zona metropolitana,Ciudad de México,15002,Acolman,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,52.8405037915653,NA
09.1.01,Zona metropolitana,Ciudad de México,13013,Atotonilco de Tula,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,68.4446603140632,NA
09.1.01,Zona metropolitana,Ciudad de México,15053,Melchor Ocampo,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,24.570177563645,NA
09.1.01,Zona metropolitana,Ciudad de México,15058,Nezahualcóyotl,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,28.1002995973457,NA
09.1.01,Zona metropolitana,Ciudad de México,15030,Chiconcuac,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,49.714182480016,NA
09.1.01,Zona metropolitana,Ciudad de México,15100,Tezoyuca,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,47.2190549448657,NA
09.1.01,Zona metropolitana,Ciudad de México,15031,Chimalhuacán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,11.1533187875112,NA
09.1.01,Zona metropolitana,Ciudad de México,15081,Tecámac,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,32.4530158574773,NA
09.1.01,Zona metropolitana,Ciudad de México,15103,Tlalmanalco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,33.065364176456,NA
09.1.01,Zona metropolitana,Ciudad de México,15057,Naucalpan de Juárez,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,149.123765604943,NA
09.1.01,Zona metropolitana,Ciudad de México,15093,Tepetlaoxtoc,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,12.2661329594708,NA
09.1.01,Zona metropolitana,Ciudad de México,15099,Texcoco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,62.7119330059123,NA
09.1.01,Zona metropolitana,Ciudad de México,15069,Papalotla,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,25.3564948899306,NA
09.1.01,Zona metropolitana,Ciudad de México,09002,Azcapotzalco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,307.895629931395,NA
09.1.01,Zona metropolitana,Ciudad de México,15046,Jilotzingo,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,10.0797704363764,NA
09.1.01,Zona metropolitana,Ciudad de México,15075,San Martín de las Pirámides,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,23.4215109996186,NA
09.1.01,Zona metropolitana,Ciudad de México,15083,Temamatla,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,6.79223991892847,NA
09.1.01,Zona metropolitana,Ciudad de México,15033,Ecatepec de Morelos,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,75.1751253334105,NA
09.1.01,Zona metropolitana,Ciudad de México,15020,Coacalco de Berriozábal,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,57.9540872177437,NA
09.1.01,Zona metropolitana,Ciudad de México,15122,Valle de Chalco Solidaridad,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,16.768087740857,NA
09.1.01,Zona metropolitana,Ciudad de México,15013,Atizapán de Zaragoza,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,52.1668145305561,NA
09.1.01,Zona metropolitana,Ciudad de México,15025,Chalco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,50.8233073819909,NA
09.1.01,Zona metropolitana,Ciudad de México,09012,Tlalpan,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,189.954262997574,NA
09.1.01,Zona metropolitana,Ciudad de México,15022,Cocotitlán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,61.0382172933152,NA
09.1.01,Zona metropolitana,Ciudad de México,09003,Coyoacán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,135.77047193733,NA
09.1.01,Zona metropolitana,Ciudad de México,15109,Tultitlán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,96.9486446939036,NA
09.1.01,Zona metropolitana,Ciudad de México,15120,Zumpango,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,20.8536747008897,NA
09.1.01,Zona metropolitana,Ciudad de México,15121,Cuautitlán Izcalli,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,145.114757490735,NA
09.1.01,Zona metropolitana,Ciudad de México,15044,Jaltenco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,8.52172014032793,NA
09.1.01,Zona metropolitana,Ciudad de México,15108,Tultepec,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,16.7685636365237,NA
09.1.01,Zona metropolitana,Ciudad de México,15089,Tenango del Aire,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,9.3893040771707,NA
09.1.01,Zona metropolitana,Ciudad de México,15070,La Paz,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,84.9102040104008,NA
09.1.01,Zona metropolitana,Ciudad de México,15039,Ixtapaluca,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,34.8111400976332,NA
09.1.01,Zona metropolitana,Ciudad de México,09009,Milpa Alta,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,10.0891394736345,NA
09.1.01,Zona metropolitana,Ciudad de México,09015,Cuauhtémoc,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,1050.00360113525,NA
09.1.01,Zona metropolitana,Ciudad de México,15029,Chicoloapan,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,25.2958251038323,NA
09.1.01,Zona metropolitana,Ciudad de México,09014,Benito Juárez,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,686.006037419999,NA
09.1.01,Zona metropolitana,Ciudad de México,09017,Venustiano Carranza,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,222.795865534734,NA
09.1.01,Zona metropolitana,Ciudad de México,15084,Temascalapa,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,8.45988971971864,NA
09.1.01,Zona metropolitana,Ciudad de México,15038,Isidro Fabela,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,8.39169653855217,NA
09.1.01,Zona metropolitana,Ciudad de México,15037,Huixquilucan,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,120.995129645453,NA
09.1.01,Zona metropolitana,Ciudad de México,15125,Tonanitla,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,6.6102935852944,NA
09.1.01,Zona metropolitana,Ciudad de México,09016,Miguel Hidalgo,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,1612.68742415105,NA
09.1.01,Zona metropolitana,Ciudad de México,15024,Cuautitlán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,116.334057595175,NA
09.1.01,Zona metropolitana,Ciudad de México,15091,Teoloyucan,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,24.7422235619931,NA
