no,cve_ent,year,valor
36,27,2006,58.19215421063844
36,28,2006,65.91934742391199
36,29,2006,66.84986500783926
36,30,2006,67.35009955691716
36,31,2006,52.00656457226056
36,32,2006,57.54722042048486
36,00,2007,64.4283915638373
36,01,2007,59.85739700308691
36,02,2007,53.31396902531615
36,03,2007,43.32451641420342
36,04,2007,53.05356916018442
36,05,2007,79.81951231444599
36,06,2007,60.982887188198426
36,07,2007,38.71282553966931
36,08,2007,66.82108972058523
36,09,2007,94.77461318675392
36,10,2007,69.27127490915932
36,11,2007,72.21904296718729
36,12,2007,48.307870934363265
36,13,2007,57.92074024760524
36,14,2007,61.776873394168184
36,15,2007,65.52496884850905
36,16,2007,69.78878317241895
36,17,2007,68.04346137380041
36,18,2007,56.420343230239745
36,19,2007,59.26914034093697
36,20,2007,53.31588741288064
36,21,2007,69.5088369018038
36,22,2007,53.2685772715719
36,23,2007,33.401680005291354
36,24,2007,57.98067964497621
36,25,2007,48.09379495099144
36,26,2007,56.78667322520106
36,27,2007,59.19972062213865
36,28,2007,68.41392053817277
36,29,2007,69.02558156464417
36,30,2007,70.80680905741646
36,31,2007,55.86653490038355
36,32,2007,62.27924171761617
36,00,2008,67.90777680866519
36,01,2008,57.2689349183767
36,02,2008,51.61029664516781
36,03,2008,47.157462290812184
36,04,2008,57.93493857300845
36,05,2008,84.45574463539697
36,06,2008,69.68452637591142
36,07,2008,42.2528188968127
36,08,2008,67.11504100102833
36,09,2008,96.91117786869668
36,10,2008,72.36436749058434
36,11,2008,77.34962533891716
36,12,2008,53.609721229449605
36,13,2008,61.65045081169238
36,14,2008,67.51989341973827
36,15,2008,68.59732830759634
36,16,2008,74.75188784522224
36,17,2008,80.1004751023888
36,18,2008,59.96830788791999
36,19,2008,62.3301590677036
36,20,2008,56.419661039113066
36,21,2008,72.80736522902083
36,22,2008,54.715858291567834
36,23,2008,35.97182552627738
36,24,2008,64.07624957408483
36,25,2008,54.422850369685094
36,26,2008,59.33147824858085
36,27,2008,65.64571428571428
36,28,2008,67.9802711784691
36,29,2008,76.08334663210424
36,30,2008,74.61273703404976
36,31,2008,56.99401691768104
36,32,2008,64.58231472483538
36,00,2009,68.6763251221899
36,01,2009,59.90812961756676
36,02,2009,53.36669522672712
36,03,2009,45.9676265757172
36,04,2009,51.66101662105495
36,05,2009,83.74795893845196
36,06,2009,68.296173091307807
36,07,2009,43.45634663196774
36,08,2009,69.36217400871107
36,09,2009,98.72383331110922
36,10,2009,64.46281392299844
36,11,2009,75.22223383228012
36,12,2009,56.11567419975312
36,13,2009,57.69083133504034
36,14,2009,68.71659225185611
36,15,2009,70.96669048341909
36,16,2009,77.90729853474
36,17,2009,74.54425967037496
36,18,2009,60.64382446807033
36,19,2009,61.1573152839856
36,20,2009,58.396993426241345
36,21,2009,75.18360673085293
36,22,2009,54.356040308109165
36,23,2009,38.25242598886754
36,24,2009,59.29480549924847
36,25,2009,51.07586590224552
36,26,2009,56.7927606554216
36,27,2009,68.76033531407268
36,28,2009,72.40201700486311
36,29,2009,84.334200997078
36,30,2009,78.66985670513931
36,31,2009,55.221455851336714
36,32,2009,58.812990011116526
36,00,2010,72.30816457368931
36,01,2010,58.40291568502407
36,02,2010,55.94402967318919
36,03,2010,42.104024804224025
36,04,2010,60.2548087743386
36,05,2010,78.83720473950726
36,06,2010,62.6791642375344
36,07,2010,46.81029923767241
36,08,2010,69.49804273176413
36,09,2010,101.63474714210324
36,10,2010,62.12571496841445
36,11,2010,77.99408439092215
36,12,2010,60.833978542196654
36,13,2010,66.8229181623587
36,14,2010,70.69164739740599
36,15,2010,75.28770566963044
36,16,2010,81.1234553332097
36,17,2010,84.98217527863551
36,18,2010,62.83010702846185
36,19,2010,61.70048903895966
36,20,2010,65.775950668037
36,21,2010,81.43753249330592
36,22,2010,56.241101854242345
36,23,2010,40.786342827074094
36,24,2010,62.1212769348355
36,25,2010,57.23855608936569
36,26,2010,62.05192170511876
36,27,2010,77.01430384821245
36,28,2010,75.62251600204951
