no,indicador,cve_ent,year,valor
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1993,10.40927
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,31,1993,3.8867
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,32,1993,10.61616
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1994,2.71306
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1994,17.27445
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1994,7.60157
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1994,11.77688
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1994,9.85864
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1994,16.08931
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1994,18.15809
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1994,20.69721
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1994,13.73921
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1994,23.85893
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1994,7.3426
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1994,41.04584
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1994,7.49907
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1994,11.684
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1994,27.66958
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1994,32.32584
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1994,32.80831
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1994,29.76848
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1994,3.81505
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1994,35.92914
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1994,10.64567
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1994,8.19946
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1994,23.52193
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1994,10.58162
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1994,24.62092
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1994,12.06418
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1994,13.85387
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1994,14.11904
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1994,4.7834
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1994,10.38903
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,31,1994,3.03449
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,32,1994,8.87346
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1995,3.9003
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1995,18.81667
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1995,8.45829
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1995,15.17975
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1995,7.99856
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1995,12.52325
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1995,19.51995
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1995,26.45361
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1995,15.81098
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1995,20.97695
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1995,6.34415
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1995,42.54372
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1995,7.27215
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1995,12.76535
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1995,23.23536
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1995,28.2984
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1995,24.28355
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1995,21.19922
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1995,3.42751
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1995,35.88225
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1995,12.6339
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1995,6.9592
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1995,10.54912
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1995,9.32488
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1995,25.12173
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1995,14.94639
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1995,13.24036
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1995,12.5387
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1995,7.89911
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1995,9.01915
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,31,1995,3.10343
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,32,1995,11.97027
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1996,3.47027
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1996,17.335
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1996,6.42586
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1996,12.12564
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1996,7.53223
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1996,8.89703
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1996,17.67491
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1996,22.50467
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1996,14.80661
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1996,17.49091
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1996,6.34471
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1996,34.1978
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1996,5.82418
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1996,12.09084
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1996,22.75525
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1996,28.06591
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1996,23.26398
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1996,13.39544
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1996,3.03312
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1996,33.80919
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1996,9.88755
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1996,8.00692
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1996,8.50577
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1996,9.1688
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1996,25.96817
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1996,15.43034
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1996,10.24521
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1996,10.53874
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1996,6.63767
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1996,8.02865
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,31,1996,2.61524
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,32,1996,8.65504
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1997,2.52051
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1997,14.89502
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1997,8.99099
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1997,11.62292
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1997,6.72505
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1997,9.8698
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1997,16.04768
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1997,22.07285
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1997,14.04625
